,method,REMOVING_DUPLICATE_PRECONDITIONS_(VIA_SMT)_LOC,REMOVING_DUPLICATE_PRECONDITIONS_(VIA_SMT)_TS,REMOVING_IMPOSSIBLE_SPECIFICATION_CASES_(VIA_SMT)_LOC,REMOVING_IMPOSSIBLE_SPECIFICATION_CASES_(VIA_SMT)_TS,PERFORMING_LEXICAL_SUBSTITUTIONS_LOC,PERFORMING_LEXICAL_SUBSTITUTIONS_TS,PERFORMING_LEXICAL_SUBSTITUTIONS_II_LOC,PERFORMING_LEXICAL_SUBSTITUTIONS_II_TS,REMOVING_TAUTOLOGIES_OF_LOC,REMOVING_TAUTOLOGIES_OF_TS,REMOVING_CONTRADICTIONS_OF_LOC,REMOVING_CONTRADICTIONS_OF_TS,PRUNING_USELESS_CLAUSES_OF_LOC,PRUNING_USELESS_CLAUSES_OF_TS,REMOVING_DEAD_ASSIGNMENTS_OF_LOC,REMOVING_DEAD_ASSIGNMENTS_OF_TS,PERFORMING_OPTIMIZED_PREMAP_BLOCK_SUBSTITUTIONS_LOC,PERFORMING_OPTIMIZED_PREMAP_BLOCK_SUBSTITUTIONS_TS,PERFORMING_ALL_PREMAP_BLOCK_SUBSTITUTIONS_LOC,PERFORMING_ALL_PREMAP_BLOCK_SUBSTITUTIONS_TS,REMOVING_LOCALS_OF_LOC,REMOVING_LOCALS_OF_TS,REMOVING_SPEC_PUBLIC_OF_LOC,REMOVING_SPEC_PUBLIC_OF_TS,DOING_BACKWARDS_PROPAGATION_OF_LOC,DOING_BACKWARDS_PROPAGATION_OF_TS,SIMPLIFYING_LABELS_OF_LOC,SIMPLIFYING_LABELS_OF_TS,REMOVING_DUPLICATE_ASSIGNMENTS_OF_LOC,REMOVING_DUPLICATE_ASSIGNMENTS_OF_TS,FIXING_RESULTS_LOC,FIXING_RESULTS_TS,CLEANING_PRESTATE_ASSIGNABLES_LOC,CLEANING_PRESTATE_ASSIGNABLES_TS,REMOVING_USELESS_POSTCONDITIONS_LOC,REMOVING_USELESS_POSTCONDITIONS_TS,PRUNING_USELESS_CLAUSES_II_OF_LOC,PRUNING_USELESS_CLAUSES_II_OF_TS,ADDING_PURITY_LOC,ADDING_PURITY_TS,REDUCTION_ANALYSIS_LOC,REDUCTION_ANALYSIS_TS
32,org.json.JSONArray.optString(int),-1,-1,-1,-1,19,3,19,3,19,0,19,0,19,0,19,210,19,5,19,0,17,0,17,0,17,0,17,0,8,0,8,0,6,0,6,1,6,0,6,0,6,0
33,org.json.JSONArray.put(boolean),-1,-1,-1,-1,45,4,45,4,45,1,45,0,45,0,45,165,45,8,45,0,34,0,34,0,34,0,34,0,26,0,26,1,18,0,18,0,18,0,18,0,11,1
34,org.json.JSONArray.put(java.util.Collection<?>),-1,-1,-1,-1,289,114,289,114,289,0,289,1,289,1,289,238,289,98,289,0,272,1,272,0,272,1,272,0,156,1,156,2,124,0,124,0,124,1,124,0,64,5
35,org.json.JSONArray.put(int),-1,-1,-1,-1,121,15,121,15,96,0,40,0,25,0,25,199,25,20,25,0,22,0,22,0,22,0,22,0,18,0,18,1,14,0,14,1,10,0,10,0,9,0
36,org.json.JSONArray.put(long),-1,-1,-1,-1,121,21,121,21,96,1,40,0,25,0,25,214,25,25,25,0,22,0,22,0,22,0,22,1,18,0,18,0,14,0,14,0,10,1,10,0,9,0
37,"org.json.JSONArray.put(java.util.Map<?,?>)",-1,-1,-1,-1,53,11,53,11,53,0,53,0,53,0,53,208,53,14,53,0,48,1,48,0,48,0,48,0,36,0,36,1,28,0,28,0,28,0,28,0,22,1
38,"org.json.JSONArray.put(int,boolean)",-1,-1,-1,-1,49,8,49,8,49,0,49,0,49,0,49,197,49,9,49,0,38,1,38,0,38,0,38,0,30,0,30,1,22,0,22,0,22,0,22,0,13,1
39,"org.json.JSONArray.put(int,java.util.Collection<?>)",-1,-1,-1,-1,379,114,379,114,379,1,379,0,379,0,379,352,379,148,379,0,360,1,360,0,360,0,360,0,192,2,192,3,156,1,156,0,156,0,156,0,82,7
40,"org.json.JSONArray.put(int,double)",-1,-1,-1,-1,2821,821,2821,821,2035,4,433,0,73,0,73,334,73,824,73,0,64,2,64,0,64,0,64,0,52,0,52,20,44,0,36,0,32,0,32,0,23,0
41,"org.json.JSONArray.put(int,int)",-1,-1,-1,-1,57,9,57,9,45,1,45,0,45,0,45,237,45,20,45,0,40,0,40,0,40,0,40,1,32,0,32,1,24,0,24,0,24,0,24,0,20,1
